Timestamp,AP_ID,RTT,IFFT,Kalman,Min,Max,Moy_100,Med_100
15:17:50.696,0,6.51,9.63,9.353,0.015,10.822,9.404,9.407
15:17:50.902,0,6.31,9.43,9.327,0.015,10.822,9.403,9.405
15:17:51.093,0,6.96,9.61,9.366,0.015,10.822,9.401,9.404
15:17:51.299,0,6.54,9.61,9.387,0.015,10.822,9.400,9.402
15:17:51.503,0,6.94,9.35,9.342,0.015,10.822,9.398,9.401
15:17:51.692,0,6.25,9.5,9.337,0.015,10.822,9.396,9.399
15:17:51.897,0,6.15,9.58,9.353,0.015,10.822,9.395,9.396
15:17:52.103,0,6.94,9.57,9.373,0.015,10.822,9.394,9.393
15:17:52.294,0,6.51,9.35,9.325,0.015,10.822,9.393,9.389
15:17:52.500,0,6.56,9.7,9.383,0.015,10.822,9.392,9.387
15:17:52.688,0,6.54,9.35,9.332,0.015,10.822,9.390,9.385
15:17:52.896,0,7.11,9.7,9.396,0.015,10.822,9.388,9.385
15:17:53.103,0,6.36,9.61,9.406,0.015,10.822,9.388,9.385
15:17:53.293,0,5.95,9.51,9.382,0.015,10.822,9.388,9.385
15:17:53.497,0,6.22,9.45,9.351,0.015,10.822,9.388,9.385
15:17:53.704,0,6.5,9.51,9.351,0.015,10.822,9.387,9.383
15:17:53.894,0,6.7,9.56,9.365,0.015,10.822,9.387,9.383
15:17:54.098,0,6.17,9.52,9.359,0.015,10.822,9.386,9.378
15:17:54.289,0,6.21,9.56,9.365,0.015,10.822,9.385,9.374
15:17:54.495,0,6.61,9.6,9.386,0.015,10.822,9.385,9.374
15:17:54.700,0,7.4,9.61,9.413,0.015,10.822,9.384,9.374
15:17:54.891,0,6.81,9.35,9.359,0.015,10.822,9.383,9.373
15:17:55.098,0,6.18,9.35,9.31,0.015,10.822,9.380,9.372
15:17:55.290,0,6.88,9.56,9.34,0.015,10.822,9.378,9.372
15:17:55.512,0,6.63,9.62,9.372,0.015,10.822,9.377,9.372
15:17:55.700,0,6.76,9.58,9.387,0.015,10.822,9.376,9.372
15:17:55.892,0,6.73,9.51,9.379,0.015,10.822,9.375,9.372
15:17:56.100,0,6.49,9.54,9.378,0.015,10.822,9.374,9.372
15:17:56.289,0,6.68,9.58,9.39,0.015,10.822,9.374,9.372
15:17:56.494,0,7.17,9.35,9.347,0.015,10.822,9.373,9.370
15:17:56.700,0,7.32,9.65,9.397,0.015,10.822,9.373,9.370
15:17:56.904,0,6.75,9.68,9.433,0.015,10.822,9.373,9.370
15:17:57.096,0,6.76,9.35,9.372,0.015,10.822,9.373,9.370
15:17:57.302,0,7.29,9.6,9.401,0.015,10.822,9.372,9.370
15:17:57.493,0,6.12,9.55,9.389,0.015,10.822,9.371,9.370
15:17:57.700,0,7.0,9.62,9.414,0.015,10.822,9.371,9.370
15:17:57.890,0,6.68,9.62,9.427,0.015,10.822,9.371,9.370
15:17:58.097,0,6.89,9.55,9.422,0.015,10.822,9.371,9.370
15:17:58.302,0,6.74,9.5,9.401,0.015,10.822,9.370,9.370
15:17:58.493,0,5.91,9.47,9.365,0.015,10.822,9.369,9.367
15:17:58.698,0,6.51,9.48,9.353,0.015,10.822,9.368,9.367
15:17:58.904,0,6.3,9.54,9.356,0.015,10.822,9.368,9.366
15:17:59.095,0,6.43,9.6,9.375,0.015,10.822,9.367,9.366
15:17:59.301,0,6.47,9.63,9.399,0.015,10.822,9.367,9.366
15:17:59.492,0,7.1,9.69,9.441,0.015,10.822,9.367,9.366
15:17:59.714,0,6.67,9.68,9.463,0.015,10.822,9.367,9.366
15:17:59.903,0,6.69,9.62,9.462,0.015,10.822,9.367,9.366
15:18:00.093,0,5.95,9.35,9.381,0.015,10.822,9.366,9.366
15:18:00.299,0,6.45,9.57,9.386,0.015,10.822,9.365,9.366
15:18:00.503,0,6.93,9.65,9.418,0.015,10.822,9.366,9.366
15:18:00.693,0,6.7,9.35,9.36,0.015,10.822,9.365,9.366
15:18:00.898,0,6.6,9.35,9.317,0.015,10.822,9.365,9.366
15:18:01.089,0,6.4,9.52,9.327,0.015,10.822,9.365,9.366
15:18:01.295,0,6.48,9.35,9.291,0.015,10.822,9.365,9.366
15:18:01.499,0,6.64,9.54,9.316,0.015,10.822,9.364,9.365
15:18:01.690,0,6.89,9.35,9.29,0.015,10.822,9.363,9.365
15:18:01.898,0,6.98,9.59,9.334,0.015,10.822,9.362,9.363
15:18:02.090,0,6.87,9.54,9.35,0.015,10.822,9.361,9.360
15:18:02.297,0,6.97,9.55,9.368,0.015,10.822,9.361,9.360
15:18:02.502,0,6.3,9.47,9.349,0.015,10.822,9.360,9.359
15:18:02.692,0,7.06,9.64,9.39,0.015,10.822,9.360,9.359
15:18:02.898,0,6.79,9.56,9.397,0.015,10.822,9.360,9.359
15:18:03.105,0,6.68,9.59,9.406,0.015,10.822,9.361,9.360
15:18:03.294,0,7.09,9.6,9.422,0.015,10.822,9.362,9.363
15:18:03.501,0,6.45,9.49,9.397,0.015,10.822,9.362,9.363
15:18:03.689,0,6.39,9.44,9.362,0.015,10.822,9.362,9.364
15:18:03.894,0,7.05,9.56,9.379,0.015,10.822,9.362,9.364
15:18:04.100,0,7.34,9.63,9.414,0.015,10.822,9.362,9.364
15:18:04.289,0,6.23,9.54,9.398,0.015,10.822,9.363,9.365
15:18:04.497,0,6.45,9.52,9.385,0.015,10.822,9.363,9.365
15:18:04.702,0,6.59,9.56,9.388,0.015,10.822,9.364,9.366
15:18:04.892,0,7.02,9.67,9.427,0.015,10.822,9.365,9.366
15:18:05.099,0,6.28,9.58,9.42,0.015,10.822,9.365,9.367
15:18:05.289,0,6.93,9.35,9.365,0.015,10.822,9.366,9.367
15:18:05.495,0,6.76,9.35,9.323,0.015,10.822,9.365,9.367
15:18:05.701,0,6.76,9.35,9.293,0.015,10.822,9.365,9.367
15:18:05.893,0,6.74,9.58,9.331,0.015,10.822,9.365,9.367
15:18:06.100,0,6.64,9.35,9.296,0.015,10.822,9.365,9.367
15:18:06.292,0,6.33,9.35,9.267,0.015,10.822,9.364,9.367
15:18:06.498,0,6.55,9.35,9.249,0.015,10.822,9.363,9.366
15:18:06.688,0,6.53,9.48,9.268,0.015,10.822,9.362,9.365
15:18:06.894,0,7.04,9.35,9.257,0.015,10.822,9.360,9.365
15:18:07.100,0,6.41,9.55,9.292,0.015,10.822,9.360,9.365
15:18:07.303,0,6.57,9.51,9.308,0.015,10.822,9.359,9.365
15:18:07.493,0,6.63,9.41,9.294,0.015,10.822,9.358,9.364
15:18:07.700,0,6.28,9.55,9.317,0.015,10.822,9.358,9.364
15:18:07.889,0,6.53,9.63,9.357,0.015,10.822,9.358,9.364
15:18:08.096,0,6.71,9.71,9.41,0.015,10.822,9.359,9.365
15:18:08.303,0,6.35,9.68,9.434,0.015,10.822,9.360,9.365
15:18:08.492,0,6.89,9.65,9.452,0.015,10.822,9.361,9.365
15:18:08.697,0,7.03,9.77,9.498,0.015,10.822,9.362,9.365
15:18:08.903,0,6.46,9.62,9.484,0.015,10.822,9.364,9.365
15:18:09.093,0,6.18,9.35,9.4,0.015,10.822,9.365,9.366
15:18:09.299,0,6.35,9.35,9.342,0.015,10.822,9.366,9.366
15:18:09.505,0,6.65,9.57,9.362,0.015,10.822,9.366,9.366
15:18:09.693,0,6.09,9.49,9.345,0.015,10.822,9.367,9.366
15:18:09.898,0,6.69,9.5,9.345,0.015,10.822,9.367,9.366
15:18:10.090,0,6.75,9.46,9.336,0.015,10.822,9.367,9.366
15:18:10.298,0,6.58,9.52,9.343,0.015,10.822,9.367,9.366
15:18:10.503,0,6.77,9.49,9.341,0.015,10.822,9.368,9.366
15:18:10.692,0,6.49,9.53,9.348,0.015,10.822,9.368,9.366
15:18:10.899,0,6.65,9.35,9.309,0.015,10.822,9.367,9.366
15:18:11.090,0,6.93,9.49,9.322,0.015,10.822,9.367,9.365
15:18:11.297,0,6.14,9.43,9.301,0.015,10.822,9.366,9.365
15:18:11.502,0,6.58,9.48,9.306,0.015,10.822,9.366,9.365
15:18:11.691,0,6.34,9.48,9.307,0.015,10.822,9.365,9.365
15:18:11.898,0,6.37,9.49,9.311,0.015,10.822,9.365,9.365
15:18:12.103,0,6.76,9.55,9.336,0.015,10.822,9.365,9.365
15:18:12.294,0,6.79,9.35,9.303,0.015,10.822,9.364,9.365
15:18:12.499,0,6.26,9.56,9.323,0.015,10.822,9.364,9.364
15:18:12.690,0,6.77,9.59,9.354,0.015,10.822,9.364,9.364
15:18:12.896,0,6.24,9.54,9.355,0.015,10.822,9.364,9.362
15:18:13.102,0,6.64,9.6,9.379,0.015,10.822,9.363,9.362
15:18:13.294,0,6.87,9.63,9.406,0.015,10.822,9.364,9.362
15:18:13.499,0,6.79,9.67,9.436,0.015,10.822,9.364,9.364
15:18:13.703,0,6.4,9.62,9.439,0.015,10.822,9.365,9.365
15:18:13.894,0,7.22,9.63,9.457,0.015,10.822,9.366,9.365
15:18:14.101,0,6.63,9.67,9.469,0.015,10.822,9.367,9.365
