Timestamp,AP_ID,RTT,IFFT,Kalman,Min,Max,Moy_100,Med_100
15:07:07.908,0,1.95,4.74,4.608,0.015,5.803,4.497,4.545
15:07:08.098,0,2.45,4.87,4.645,0.015,5.803,4.498,4.545
15:07:08.304,0,1.75,4.85,4.654,0.015,5.803,4.499,4.545
15:07:08.508,0,2.02,4.73,4.635,0.015,5.803,4.499,4.545
15:07:08.699,0,1.83,4.67,4.602,0.015,5.803,4.499,4.545
15:07:08.904,0,1.74,4.81,4.614,0.015,5.803,4.499,4.545
15:07:09.111,0,1.89,4.67,4.588,0.015,5.803,4.499,4.545
15:07:09.299,0,1.27,4.65,4.554,0.015,5.803,4.498,4.545
15:07:09.506,0,2.44,4.82,4.592,0.015,5.803,4.497,4.545
15:07:09.698,0,2.14,4.67,4.575,0.015,5.803,4.496,4.545
15:07:09.918,0,1.78,4.73,4.574,0.015,5.803,4.496,4.545
15:07:10.107,0,2.29,4.67,4.565,0.015,5.803,4.496,4.546
15:07:10.298,0,2.34,4.78,4.588,0.015,5.803,4.496,4.546
15:07:10.504,0,1.57,4.38,4.487,0.015,5.803,4.495,4.545
15:07:10.711,0,2.54,4.76,4.528,0.015,5.803,4.495,4.543
15:07:10.903,0,1.8,4.38,4.448,0.015,5.803,4.493,4.543
15:07:11.109,0,2.18,4.71,4.484,0.015,5.803,4.492,4.540
15:07:11.300,0,1.96,4.78,4.523,0.015,5.803,4.492,4.537
15:07:11.523,0,2.47,4.76,4.555,0.015,5.803,4.492,4.537
15:07:11.712,0,1.99,4.62,4.534,0.015,5.803,4.491,4.535
15:07:11.902,0,2.12,4.67,4.534,0.015,5.803,4.491,4.534
15:07:12.109,0,1.88,4.73,4.546,0.015,5.803,4.490,4.534
15:07:12.300,0,1.8,4.78,4.565,0.015,5.803,4.490,4.534
15:07:12.522,0,1.84,4.78,4.579,0.015,5.803,4.491,4.534
15:07:12.698,0,2.07,4.76,4.588,0.015,5.803,4.491,4.534
15:07:12.905,0,1.46,4.74,4.581,0.015,5.803,4.491,4.534
15:07:13.110,0,2.0,4.91,4.63,0.015,5.803,4.493,4.535
15:07:13.302,0,1.96,4.67,4.6,0.015,5.803,4.495,4.537
15:07:13.509,0,1.4,4.74,4.59,0.015,5.803,4.496,4.540
15:07:13.712,0,2.52,4.88,4.636,0.015,5.803,4.498,4.543
15:07:13.902,0,1.86,4.67,4.603,0.015,5.803,4.499,4.543
15:07:14.108,0,1.95,4.65,4.576,0.015,5.803,4.500,4.545
15:07:14.299,0,1.55,4.67,4.555,0.015,5.803,4.499,4.545
15:07:14.523,0,1.59,4.08,4.387,0.015,5.803,4.497,4.543
15:07:14.698,0,1.71,4.74,4.438,0.015,5.803,4.496,4.543
15:07:14.904,0,2.07,4.67,4.463,0.015,5.803,4.494,4.540
15:07:15.096,0,1.67,4.8,4.511,0.015,5.803,4.495,4.540
15:07:15.320,0,2.23,4.67,4.518,0.015,5.803,4.497,4.540
15:07:15.510,0,1.69,4.97,4.594,0.015,5.803,4.499,4.543
15:07:15.702,0,2.13,5.13,4.698,0.015,5.803,4.503,4.543
15:07:15.925,0,1.61,4.98,4.726,0.015,5.803,4.506,4.545
15:07:16.101,0,2.19,5.0,4.759,0.015,5.803,4.509,4.546
15:07:16.307,0,2.15,4.97,4.774,0.015,5.803,4.513,4.546
15:07:16.498,0,2.0,4.67,4.705,0.015,5.803,4.514,4.546
15:07:16.721,0,1.67,4.99,4.733,0.015,5.803,4.515,4.546
15:07:16.909,0,2.0,4.8,4.708,0.015,5.803,4.517,4.546
15:07:17.102,0,1.4,4.52,4.609,0.015,5.803,4.518,4.550
15:07:17.304,0,1.77,4.65,4.576,0.015,5.803,4.517,4.550
15:07:17.511,0,1.59,4.52,4.515,0.015,5.803,4.517,4.546
15:07:17.703,0,1.66,4.67,4.513,0.015,5.803,4.516,4.546
