Timestamp,AP_ID,RTT,IFFT,Kalman,Min,Max,Moy_100,Med_100
15:05:14.113,0,0.08,3.33,3.245,0.015,5.803,3.208,3.203
15:05:14.305,0,0.15,3.29,3.254,0.015,5.803,3.207,3.203
15:05:14.512,0,0.0,3.27,3.258,0.015,5.803,3.208,3.203
15:05:14.702,0,0.64,3.28,3.229,0.015,5.803,3.208,3.205
15:05:14.909,0,0.25,3.29,3.203,0.015,5.803,3.208,3.205
15:05:15.101,0,0.26,3.34,3.196,0.015,5.803,3.208,3.205
15:05:15.307,0,0.06,3.34,3.229,0.015,5.803,3.209,3.207
15:05:15.514,0,0.33,3.3,3.207,0.015,5.803,3.209,3.207
15:05:15.706,0,0.57,3.31,3.195,0.015,5.803,3.209,3.207
15:05:15.912,0,0.51,3.31,3.186,0.015,5.803,3.209,3.207
15:05:16.100,0,0.3,3.35,3.185,0.015,5.803,3.209,3.205
15:05:16.306,0,0.69,3.3,3.177,0.015,5.803,3.208,3.203
15:05:16.512,0,0.0,3.28,3.201,0.015,5.803,3.208,3.203
15:05:16.703,0,0.84,3.38,3.211,0.015,5.803,3.208,3.203
15:05:16.909,0,0.25,3.31,3.193,0.015,5.803,3.208,3.203
15:05:17.101,0,0.5,3.26,3.17,0.015,5.803,3.208,3.203
15:05:17.305,0,0.02,3.21,3.179,0.015,5.803,3.208,3.203
15:05:17.512,0,0.0,3.22,3.187,0.015,5.803,3.208,3.203
15:05:17.701,0,0.15,3.25,3.2,0.015,5.803,3.208,3.202
15:05:17.907,0,0.7,3.32,3.196,0.015,5.803,3.208,3.202
15:05:18.098,0,0.14,3.34,3.229,0.015,5.803,3.208,3.202
15:05:18.304,0,0.45,3.37,3.225,0.015,5.803,3.208,3.202
15:05:18.511,0,0.31,3.34,3.212,0.015,5.803,3.208,3.202
15:05:18.702,0,0.9,3.33,3.207,0.015,5.803,3.208,3.202
15:05:18.909,0,0.0,3.3,3.23,0.015,5.803,3.208,3.202
15:05:19.099,0,0.0,3.26,3.237,0.015,5.803,3.208,3.202
15:05:19.305,0,0.34,3.29,3.21,0.015,5.803,3.207,3.202
15:05:19.512,0,0.28,3.3,3.192,0.015,5.803,3.207,3.202
15:05:19.704,0,0.27,3.3,3.177,0.015,5.803,3.206,3.202
15:05:19.927,0,0.21,3.29,3.163,0.015,5.803,3.206,3.202
15:05:20.102,0,0.7,3.37,3.18,0.015,5.803,3.205,3.201
15:05:20.308,0,0.83,3.29,3.174,0.015,5.803,3.205,3.200
15:05:20.498,0,0.0,3.32,3.208,0.015,5.803,3.204,3.200
15:05:20.706,0,0.77,3.36,3.211,0.015,5.803,3.204,3.201
15:05:20.912,0,0.0,3.31,3.234,0.015,5.803,3.205,3.202
15:05:21.105,0,0.7,3.27,3.209,0.015,5.803,3.205,3.202
15:05:21.311,0,0.15,3.31,3.232,0.015,5.803,3.206,3.202
15:05:21.501,0,0.41,3.32,3.214,0.015,5.803,3.206,3.202
15:05:21.709,0,0.0,3.26,3.226,0.015,5.803,3.206,3.202
15:05:21.900,0,0.27,3.26,3.193,0.015,5.803,3.206,3.202
15:05:22.106,0,0.31,3.37,3.195,0.015,5.803,3.207,3.202
15:05:22.298,0,0.02,3.32,3.224,0.015,5.803,3.207,3.203
15:05:22.503,0,0.1,3.27,3.233,0.015,5.803,3.208,3.205
15:05:22.710,0,0.0,3.25,3.236,0.015,5.803,3.208,3.207
15:05:22.902,0,0.36,3.25,3.202,0.015,5.803,3.209,3.207
15:05:23.106,0,0.74,3.35,3.205,0.015,5.803,3.209,3.207
15:05:23.313,0,0.23,3.34,3.196,0.015,5.803,3.209,3.207
15:05:23.504,0,0.38,3.31,3.183,0.015,5.803,3.209,3.207
15:05:23.711,0,0.03,3.28,3.206,0.015,5.803,3.209,3.207
15:05:23.903,0,0.14,3.31,3.228,0.015,5.803,3.209,3.207
15:05:24.109,0,0.47,3.37,3.226,0.015,5.803,3.210,3.208
15:05:24.301,0,0.2,3.27,3.235,0.015,5.803,3.211,3.208
15:05:24.509,0,0.29,3.31,3.213,0.015,5.803,3.211,3.210
15:05:24.699,0,0.38,3.33,3.201,0.015,5.803,3.211,3.210
15:05:24.906,0,0.48,3.34,3.197,0.015,5.803,3.212,3.210
15:05:25.113,0,0.03,3.27,3.215,0.015,5.803,3.212,3.210
15:05:25.304,0,0.19,3.32,3.239,0.015,5.803,3.212,3.210
15:05:25.512,0,0.44,3.21,3.193,0.015,5.803,3.212,3.210
15:05:25.703,0,0.16,3.35,3.23,0.015,5.803,3.213,3.211
15:05:25.910,0,0.31,3.32,3.212,0.015,5.803,3.213,3.211
15:05:26.101,0,0.45,3.37,3.213,0.015,5.803,3.213,3.212
15:05:26.309,0,0.37,3.35,3.208,0.015,5.803,3.214,3.212
15:05:26.501,0,0.6,3.43,3.228,0.015,5.803,3.214,3.212
15:05:26.708,0,0.0,3.26,3.236,0.015,5.803,3.214,3.212
15:05:26.899,0,0.0,3.26,3.241,0.015,5.803,3.214,3.213
15:05:27.106,0,0.33,3.28,3.21,0.015,5.803,3.214,3.213
